headline 	 snippet 	 date	name
Balthazar Korab, 1926-2013	Mr. Korab, a leading architectural photographer, died Jan. 15 in Royal Oak, Mich. He was 86.	2013-01-25T00:00:00Z	Balthazar Korab
Murray Gershenz, Record Store Owner and Character Actor, Dies at 91	Mr. Gershenz, a merchant of used music who became an archivist of 300,000 albums, had a late-blooming career in films and television.	2013-09-08T00:00:00Z	Murray Gershenz
Hal Needham, Stuntman and Director of Action Films, Dies at 82	Mr. Needham performed and designed stunts in many television episodes and movies before directing “Smokey and the Bandit,” “The Cannonball Run” and other films.	2013-10-27T00:00:00Z	Hal Needham
Errol Mann, Kicker for Champion Raiders, Dies at 71	Mr. Mann played 11 years in the N.F.L., which included a Super Bowl victory with Oakland in the 1976 season and eight years with the Detroit Lions.	2013-04-19T00:00:00Z	Errol Mann
Noel Harrison, Actor and Singer of ‘Windmills of Your Mind,’ Dies at 79	Mr. Harrison was best known for his role on “The Girl From U.N.C.L.E.” and his rendition of the song “The Windmills of Your Mind” for the soundtrack of “The Thomas Crown Affair.”	2013-10-29T00:00:00Z	Noel Harrison
Errol Mann, 71, a Top Place-Kicker in the N.F.L.	Errol Mann, the place-kicker for the  Oakland Raiders  team that won the 1977  Super Bowl , died on April 11 at his home in Missoula, Mont. He was 71.&#xa;   &#xa;His death was confirmed by the Sunset Memorial Funeral Home. The cause was a heart atta	2013-04-22T00:00:00Z	Errol Mann
Robinson Risner, Ace Fighter Pilot, Dies at 88	Brig. Gen. Robinson Risner shot down eight MIG-15 fighters during the Korean War and was held captive at the “Hanoi Hilton” for seven and a half years.	2013-10-28T00:00:00Z	Robinson Risner
Joe Weider, Fitness Mentor to Schwarzenegger, Dies	Mr. Weider was a bodybuilding legend who helped popularize the sport worldwide and cultivated one of its biggest stars — a charismatic young weightlifter named Arnold Schwarzenegger.	2013-03-23T18:16:46Z	Joe Weider
Sergiu Nicolaescu, Romanian Film Director, Dies at 82	Mr. Nicolaescu was a Social Democratic Party senator from 1992 until he stepped down last month.	2013-01-07T00:00:00Z	Sergiu Nicolaescu
Colin Davis, a British Conductor Known for His Exuberant Approach, Dies at 85	Mr. Davis, the longest-serving principal conductor of the London Symphony Orchestra, brought enthusiasm and authority to his music-making.	2013-04-16T00:00:00Z	Colin Davis
Ray Williams Dies at 58; Itinerant in Pros and Life	Mr. Williams played 10 well-traveled seasons with the National Basketball Association, but he became homeless and declared bankruptcy after his career until landing a job in his hometown.	2013-03-25T00:00:00Z	Ray Williams Dies at 58; Itinerant in Pros and Life
Paul Aussaresses, 95, Who Tortured Algerians, Dies	General Aussaresses stunned France in 2000 when he asserted that he had tortured and executed dozens of prisoners during his country’s war in Algeria four decades earlier.	2013-12-05T00:00:00Z	Paul Aussaresses
Johnny Logan, Shortstop for World Champion Milwaukee Braves, Dies at 86	Mr. Logan, a four-time All-Star, helped the Braves win Milwaukee’s only title, a 4-3 World Series victory over the Yankees in 1957.	2013-09-07T00:00:00Z	Johnny Logan
Tom Clancy, Spinner of Suspense	Mr. Clancy’s military thrillers were blockbuster hits on the best-seller list, at the box office and even in the gaming world. He died at 66 in Baltimore.	2013-10-02T22:22:00Z	Tom Clancy
Bill Eppridge, Who Captured Powerful ’60s Images, Dies at 75	Mr. Eppridge made his most enduring mark with a historic image of a mortally wounded Senator Robert F. Kennedy lying on the floor of a Los Angeles hotel in June 1968.	2013-10-05T00:00:00Z	Bill Eppridge
Questions Linger After Death of Yale Teacher in Police Custody	Samuel See, 34, an assistant English professor, was found dead in a New Haven jail cell last month, after a domestic dispute with his husband.	2013-12-19T00:00:00Z	Questions Linger After Death of Yale Teacher in Police Custody
Sir Colin Davis, British Conductor, Dies at 85	Sir Colin left an indelible mark on the London Symphony Orchestra. He championed Sibelius and Berlioz, and  revived Mozart as a symphonic mainstay.	2013-04-14T22:24:11Z	Sir Colin Davis
Abraham Nemeth, Creator of a Braille Code for Math, Is Dead at 94	Told that blind people could not do math, Dr. Nemeth developed a customized code that even captured the complexities of differential calculus.	2013-10-07T00:00:00Z	Abraham Nemeth
Oklahoma: Boy Is Killed by Parade Float	An 8-year-old boy died after he was run over by a float driven by his father at the end of a Fourth of July parade in central Oklahoma.	2013-07-05T00:00:00Z	Oklahoma: Boy Is Killed by Parade Float
Kalaparusha Maurice McIntyre, Tenor Saxophonist, Dies at 77	Mr. McIntyre was a founding member of the Association for the Advancement of Creative Musicians and occasionally performed in face paint and tribal costume.	2013-11-15T00:00:00Z	Kalaparusha Maurice McIntyre
Israel Gutman, Who Survived and Documented Holocaust, Dies at 90	Professor Gutman took part in the Warsaw ghetto uprising, survived three Nazi concentration camps and wrote about the Jews of Poland, the Jewish resistance and Auschwitz.	2013-10-02T00:00:00Z	Israel Gutman
Michael French, Who Battled a Rare Dementia, Dies at 73	Michael French, who struggled with the brain disease frontotemporal dementia, diagnosed in 2007, died at a Manhattan nursing home.	2013-12-10T00:00:00Z	Michael French
Mark B. Read, Criminal Turned Author, Dies at 58	Mr. Read, known as Chopper, based top-selling books and stand-up performance on his violent and varied life of crime.	2013-10-15T00:00:00Z	Mark B. Read
Wadih el-Safi, 91, a Favorite Singer in the Arab World	Mr. Safi helped spread colloquial Lebanese Arabic outside of Lebanon, becoming known to many Arabs as “the man with the golden voice.”	2013-10-15T00:00:00Z	Wadih el-Safi
Imre Molnar, Provost at College for Creative Studies, Dies at 61	He was instrumental in the expansion of the transportation design program and helped create an M.F.A. in fine arts.	2013-01-03T14:00:54Z	Imre Molnar
Wadih el-Safi, 91, a Favorite Singer in the Arab World	Mr. Safi helped spread colloquial Lebanese Arabic outside of Lebanon, becoming known to many Arabs as “the man with the golden voice.”	2013-10-15T00:00:00Z	Wadih el-Safi
Milo O’Shea, an Actor of the Stage and Screen, Dies at 86	Mr. O’Shea was an Irish actor known for his roles in films like “Ulysses,” “Barbarella” and “The Verdict” and plays like “Staircase” and “Mass Appeal.”	2013-04-04T00:00:00Z	Milo O’Shea
Debate Over a Supplement	In 2011, a private with the United States Army collapsed while running. Before his training, he had consumed a supplement that contained DMAA.	2013-03-15T14:27:13Z	Debate Over a Supplement
Antonio Frasconi, Woodcut Master, Dies at 93	Mr. Frasconi used his woodcuts to comment on everything from the dictatorship in Uruguay, where he grew up, to the Kent State shootings of 1970.	2013-01-22T00:00:00Z	Antonio Frasconi
Joey Covington, Rock Drummer, Dies at 67	Mr. Covington was a replacement drummer for Jefferson Airplane and a founding member of Hot Tuna.	2013-06-08T00:00:00Z	Joey Covington
Wolfgang Sawallisch, Conductor, Dies at 89	Mr. Sawallisch, a conductor steeped in German tradition, gained a new lease on life at the Philadelphia Orchestra.	2013-02-25T00:00:00Z	Wolfgang Sawallisch
James Martin, Technology Consultant and Oxford Benefactor, Dies at 79	Mr. Martin was an influential figure in information technology who used his fortune to study the problems and opportunities confronting the 21st-century world.	2013-07-03T00:00:00Z	James Martin
Stuart Freeborn, ‘Star Wars’ Makeup Artist, Dies at 98	Mr. Freeborn created characters like Yoda and did extensive work on dozens of other films. George Lucas, the “Star Wars” director, called him “a makeup legend.”	2013-02-08T00:00:00Z	Stuart Freeborn
Arthur Storch, Stage Director, Dies at 87	Mr. Storch, an Actors Studio alumnus, directed on and off Broadway and created Syracuse Stage, a regional theater he brought to national prominence.	2013-03-11T00:00:00Z	Arthur Storch
Bob Brozman, Guitarist, Is Dead at 59	Mr. Brozman was a self-described “roving guitar anthropologist” who collaborated with musicians from Northern Ireland to Papua New Guinea.	2013-05-02T00:00:00Z	Bob Brozman
Stanley Kauffmann, Critic, Dies at 97; Spent a Half-Century at the Movies 	Mr. Kauffmann&#8217;s reflective movie reviews appeared for 55 years in The New Republic, until his last months.	2013-10-10T00:00:00Z	Stanley Kauffmann
John Thomas, Who Set Standard in High Jump, Dies at 71	Mr. Thomas, the first high jumper to clear 7 feet indoors, was perhaps best known for his cold war rivalry with Valery Brumel of the Soviet Union.	2013-01-20T00:00:00Z	John Thomas
Bill Austin, 84, Pro Bowl Lineman, Dies	Mr. Austin, a 13th-round draft choice in 1949, played for the Giants for seven seasons and served as a coach for several N.F.L. teams.	2013-05-31T00:00:00Z	Bill Austin
Robert W. Wilson, Frugal Philanthropist, Dies at 87	Mr. Wilson, the founding partner of the firm Wilson & Associates, donated about $600 million to causes including environmental conservation and Roman Catholic education.	2013-12-28T00:00:00Z	Robert W. Wilson
Andrew P. O’Rourke, 79, Rival to Mario Cuomo, Dies	Mr. O’Rourke, a Republican, managed Westchester County for 14 years and ran for New York governor against the popular incumbent in 1986.	2013-01-05T00:00:00Z	Andrew P. O’Rourke
Taylor Mead, Bohemian and Actor, Dies at 88	Mr. Mead collaborated with Andy Warhol in the 1960s to make several curious films.	2013-05-10T00:00:00Z	Taylor Mead
Making the Most of His Gifts and Flaws	Pat Summerall, who died Tuesday at 82, had a rare ability to broadcast many sports while using few words. He also used his experience at the Betty Ford Center to help other alcoholics.	2013-04-18T00:00:00Z	Making the Most of His Gifts and Flaws
Yusef Lateef, Innovative Jazz Saxophonist and Flutist, Dies at 93	Mr. Lateef crossed musical boundaries, playing world music before world music had a name.	2013-12-25T00:00:00Z	Yusef Lateef
Bill Foulkes Dies at 81; Soccer Star Survived Team’s Plane Crash	Sustaining only minor injuries in the crash in Munich in February 1958 that killed eight starting players, the rugged defender went on to help Manchester United rebuild.	2013-12-01T00:00:00Z	Bill Foulkes Dies at 81; Soccer Star Survived Team’s Plane Crash
Peter Hauri, Psychologist Who Focused on Insomnia, Dies at 79	Dr. Hauri was one of the first researchers to study the mechanics of a good night’s sleep.	2013-02-08T00:00:00Z	Peter Hauri
Ferrol Sams, Doctor Turned Novelist, Dies at 90	Dr. Sams, a country doctor in Georgia, was in his 50s before he began a career as a novelist, drawing on his practice and rural upbringing for material.	2013-02-02T00:00:00Z	Ferrol Sams
Vincent A. Marchiselli, Ex-New York Legislator From Bronx, Dies at 85	Mr. Marchiselli, elected in 1974 as a reformer, was a defiant voice against his borough’s scandal-scarred Democratic organization.	2013-12-05T00:00:00Z	Vincent A. Marchiselli
Elliott Reid, Sleuth in ‘Gentlemen Prefer Blondes,’ Dies at 93	Mr. Reid played Ernie Malone, a private detective hired to investigate Lorelei Lee, played by Marilyn Monroe.	2013-06-26T00:00:00Z	Elliott Reid
Gates Brown, Tigers’ Clutch Pinch-Hitter, Is Dead at 74	Mr. Brown hit .370, including .450 as a pinch-hitter, to help lead Detroit to the World Series in 1968.	2013-09-29T00:00:00Z	Gates Brown
His Life Was a Country Song	George Jones’s baritone singing, universally respected, found vulnerability and doubt behind the cheerful drive of honky-tonk.	2013-04-27T00:00:00Z	His Life Was a Country Song
Eddie Bond, 79, Radio Host And Rockabilly Singer	Eddie Bond, a rockabilly singer and radio host who once told a teenage  Elvis Presley  that he would be better off driving a truck than trying to make it in music, died on Wednesday at his home in Bolivar, Tenn. He was 79.&#xa;   &#xa;His death was c	2013-04-01T00:00:00Z	Eddie Bond
Tony Lip, Mobster in ‘The Sopranos,’ Dies at 82	Before becoming an actor known for playing a mobster, Mr. Lip worked at the Copacabana nightclub in Manhattan.	2013-01-07T00:00:00Z	Tony Lip
John Merwin, Angler With Story Angles, Dies at 66	Mr. Merwin lived to fish and chronicle it. An editor and writer for Field & Stream, he also founded Rod & Reel magazine and wrote a number of critically acclaimed books.	2013-02-27T00:00:00Z	John Merwin
Donald Shirley, a Pianist With His Own Genre, Dies at 86	Mr. Shirley, who was discouraged from pursuing a career in classical music because he was black, gathered many types of music under one umbrella.	2013-04-29T00:00:00Z	Donald Shirley
Manfred Rommel, Son of German Field Marshal, Dies at 84	Mr. Rommel, a three-term mayor of Stuttgart, was a liberal voice in postwar West Germany, supporting immigrant rights and strengthening the city’s Jewish population.	2013-11-11T00:00:00Z	Manfred Rommel
Tadeusz Mazowiecki, Ex-Premier of Poland, Dies at 86	Mr. Mazowiecki helped form the Solidarity trade union movement and became the first non-Communist to head an Eastern bloc nation since the late 1940s.	2013-10-29T00:00:00Z	Tadeusz Mazowiecki
Bob Teague, WNBC Reporter Who Helped Integrate TV News, Is Dead at 84	When he joined WNBC-TV, there were few black reporters. But Mr. Teague was eventually disillusioned with TV newscasts.	2013-03-29T00:00:00Z	Bob Teague
Damon Harris, Who Sang With the Temptations, Dies at 62	Mr. Harris joined the Temptations in 1971 and was the lead singer on “Papa Was a Rollin’ Stone.”	2013-02-26T00:00:00Z	Damon Harris
Mike Hegan, 71, Player Who Made Long Journey Home 	Mr. Hegan, who played for several teams in the major leagues, including the Yankees, returned to his Cleveland and became a broadcaster.	2013-12-29T00:00:00Z	Mike Hegan
Eddie Bond, Elvis Contemporary, Dies at 79	Mr. Bond was known, among other things, for telling a young Elvis Presley that he wouldn’t make it big as a singer.	2013-03-25T00:00:00Z	Eddie Bond
Miller Barber, 82, Golf Champion With Odd Swing, Dies	Barber was a popular and successful player on the P.G.A. Tour in the 1960s and went on to dominate in the early years of senior tournament play.	2013-06-13T00:00:00Z	Miller Barber
Lee Tanner, Jazz Performance Portraitist, Is Dead at 82	Mr. Tanner’s often ethereal images, which graced album covers, magazines, exhibitions and books, included subjects like Duke Ellington, Dizzy Gillespie and Thelonious Monk.	2013-09-16T00:00:00Z	Lee Tanner
Kenneth Battelle, 86, Hairdresser to the Stars, Dies	Mr. Battelle, often called the first celebrity hairdresser, defined the styles of famous names like Audrey Hepburn, Marilyn Monroe and Jacqueline Kennedy.	2013-05-14T00:00:00Z	Kenneth Battelle
Janos Starker, Master of the Cello, Dies at 88	Mr. Starker was widely known through his more than 150 recordings, including one of Bach’s six suites for solo cello for which he won a Grammy Award in 1998.	2013-04-30T00:00:00Z	Janos Starker
Stan Tracey Dies at 86; Helped British Jazz Emerge From American Shadow	Mr. Tracey’s inspirations for some of his compositions were distinctly British in origin.	2013-12-13T00:00:00Z	Stan Tracey Dies at 86; Helped British Jazz Emerge From American Shadow
Lee Thompson Young, Detective on TV, Dies at 29	Mr. Young was an actor who played a child star on the Disney Channel show “The Famous Jett Jackson” and a detective on the hit TNT series “Rizzoli & Isles.”	2013-08-20T00:00:00Z	Lee Thompson Young
Frank Wess, 91, Saxophonist and Flutist With the Basie Band, Dies	Mr. Wess was not the first flutist in jazz, but his deft flute solos enjoyed a prominent platform: the front row of the Basie ensemble.	2013-11-04T00:00:00Z	Frank Wess
William Demby, Author of Experimental Novels, Dies at 90	Mr. Demby spent much of his career in Italy writing subtitles for Fellini and Rossellini movies.	2013-06-01T00:00:00Z	William Demby
Seeing Beauty With Saul Leiter	Tony Cenicola had no idea who Saul Leiter was when he first met the fabled photographer. But he spent a decade helping — and learning from — Mr. Leiter, who died on Tuesday night.	2013-11-27T15:30:36Z	Seeing Beauty With Saul Leiter
Nevin S. Scrimshaw, Pioneer Nutritionist, Dies at 95	Dr. Scrimshaw helped build organizations dedicated to nutrition and improved the health of children in developing nations by making affordable gruels.	2013-02-13T00:00:00Z	Nevin S. Scrimshaw
Larry Selman, Who Aided Others $1 at a Time, Dies at 70	Mr. Selman, who was said to have a low I.Q. but was an active fund-raiser for multiple causes, was the subject of the 2002 documentary “The Collector of Bedford Street.”	2013-01-25T00:00:00Z	Larry Selman
Allan Stanley, 87, Dies; Helped Maple Leafs Win 4 N.H.L. Titles	Stanley, who played 21 seasons and was noted for a lumbering skating style, won four Stanley Cups with Toronto in the 1960s, including the team’s last championship, in 1967.	2013-10-30T00:00:00Z	Allan Stanley
William Harrison, 79, Novelist and ‘Rollerball’ Writer, Dies	Mr. Harrison also wrote the film “Mountains of the Moon” and taught at the University of Arkansas.	2013-10-30T00:00:00Z	William Harrison
John Kerr, Star of ‘Tea and Sympathy,’ Dies at 81	Mr. Kerr was a Tony Award winner known for roles in the 1950s that challenged bigotry.	2013-02-09T00:00:00Z	John Kerr
Chico Hamilton, Drummer, Bandleader and Exponent of Cool Jazz, Dies at 92	Mr. Hamilton, from the Los Angeles area, had a subtle and melodic approach that made him ideally suited for the refined, understated style that came to be known as cool jazz.	2013-11-27T00:00:00Z	Chico Hamilton
Lawrence O. Kitchen, Steady Hand for Lockheed, Dies at 90	Mr. Kitchen rose through the ranks of the aerospace company during a 30-year career and led the company through rocky tussles with governments during the 1980s.	2013-12-24T00:00:00Z	Lawrence O. Kitchen
Hjalmar Andersen, Norwegian Speedskater, Dies at 90	Hjalmar Andersen broke world records in the early 1950s and won three gold medals at the 1952 Winter Olympics in Oslo.	2013-03-28T00:00:00Z	Hjalmar Andersen
Tony Musante, Actor Known for Role in ‘Toma,’ Dies at 77	Mr. Musante acted on stage and in many films in the United States and Europe, working with Gene Hackman, Meryl Streep and George C. Scott.	2013-11-28T00:00:00Z	Tony Musante
James DePreist, a Pioneering Conductor, Dies at 76	Mr. DePreist, one of the few black conductors to achieve international renown, refused to let disability derail his career.	2013-02-10T00:00:00Z	James DePreist
C. Everett Koop, Ex-Surgeon General, Dies at 96	Dr. Koop raised the profile of the nation’s surgeon general by speaking frankly about AIDS and the dangers of smoking.	2013-02-25T16:51:26Z	C. Everett Koop
Manna Dey, 94, the Voice of Many a Bollywood Star, Dies	Mr. Dey was an acclaimed playback singer for Bengali as well as Bollywood films, but like most Bollywood singers, he was not seen onscreen.	2013-11-01T00:00:00Z	Manna Dey
Wilfried Martens, Belgian Statesman, Dies at 77	Mr. Martens, a longtime prime minister, is credited with helping to keep together his linguistically divided country.	2013-10-11T00:00:00Z	Wilfried Martens
Questions Linger About Death of Former Quarterback	Cullen Finnerty, one of the most successful quarterbacks in college football history, was found dead in the Michigan woods. That’s when the search for answers began.	2013-06-09T00:00:00Z	Questions Linger About Death of Former Quarterback
Bruno Bartoletti, Maestro Who Shaped Lyric Opera of Chicago, Dies at 86	Mr. Bartoletti was considered a superb interpreter of the 19th- and early-20th-century music of Italian masters.	2013-06-14T00:00:00Z	Bruno Bartoletti
William C. Campbell, a Leader in Golf, Dies at 90	Mr. Campbell was a champion of golf’s amateur era who later led his sport’s two most prestigious governing organizations.	2013-09-09T00:00:00Z	William C. Campbell
A Racer Known to Many, and Now a Mystery	Long before he came to Nascar, Dick Trickle was a renowned driver in the Midwest. He died Thursday at age 71 from a self-inflicted gunshot wound.	2013-05-18T00:00:00Z	A Racer Known to Many
Earl Williams, Baseball Slugger, Dies at 64	Williams won the National League’s rookie of the year award in 1971, but was out of major league baseball by the end of the decade.	2013-02-02T00:00:00Z	Earl Williams
Kenneth Wallis, British Pilot of Bombers and Odder Flying Machines, Dies at 97	Mr. Wallis was an enthusiastic maker, flier and promoter of autogyros, buglike vehicles similar to helicopters.	2013-09-10T00:00:00Z	Kenneth Wallis
Ken Venturi, U.S. Open Golf Champion and Broadcaster, Dies at 82	Mr. Venturi won the 1964 United States Open, nearly collapsing from heat exhaustion. He later became a chief golf analyst for CBS Sports, where he worked for 35 years.	2013-05-18T00:00:00Z	Ken Venturi
Howard J. Phillips, Stalwart Conservative, Dies at 72	Mr. Phillips could be a thorn in the side even of fellow Republicans for his devotion to ideological principles such as limited government and traditional family values.	2013-04-24T00:00:00Z	Howard J. Phillips
George L. Shinn, a Wall Street Chief Who Turned to Teaching, Dies at 90	Mr. Shinn, a former president of Merrill Lynch, also led the First Boston Corporation as chairman and chief executive, but left unexpectedly to pursue teaching.	2013-12-19T00:00:00Z	George L. Shinn
Jean Banchet, Chef Who Translated French Cuisine, Dies at 72	Mr. Banchet’s traditional French cooking helped turn the Chicago suburbs into a global destination for food-lovers in the 1970s and ’80s.	2013-11-26T00:00:00Z	Jean Banchet
Ed Lauter, Actor With a Familiar Face, Dies at 74	Mr. Lauter, a recognizable figure known for his menacing characters, acted for five decades and was in “Trouble in the Curve” last year.	2013-10-18T00:00:00Z	Ed Lauter
Ike Skelton, Former Congressman From Missouri, Dies at 81	Mr. Skelton, a 17-term Democrat, was chairman of the House Armed Services Committee.	2013-10-29T00:00:00Z	Ike Skelton
Dean Meminger, Who Helped Knicks to a Title, Dies at 65	The speedy point guard and tenacious defender had long battled drug problems.	2013-08-24T00:00:00Z	Dean Meminger
George Sauer, Jets Receiver and Rebel, Is Dead at 69	Mr. Sauer, who was a wide receiver for the Jets, played a pivotal role in the team’s Super Bowl III win, but he grew to hate the life of a pro football player and retired at 27.	2013-05-11T00:00:00Z	George Sauer
Mike Gray, ‘China Syndrome’ Writer, Dies at 77	Mr. Gray dealt with contemporary issues in his work, including race relations and American drug policy.	2013-05-04T00:00:00Z	Mike Gray
James H. Steele, Pioneer in Veterinary Public Health, Dies at 100	Dr. Steele helped establish mass vaccination and prevention programs in the United States and abroad for diseases that pass from animals to people.	2013-11-22T00:00:00Z	James H. Steele
Jimmy Dawkins, Chicago Blues Guitarist, Dies at 76	Mr. Dawkins, who did most of his touring in Europe and Japan, counted Buddy Guy and Eric Clapton among his fans.	2013-04-19T00:00:00Z	Jimmy Dawkins
William Hathaway, Senator From Maine, Dies at 89	Mr. Hathaway’s 1972 election ended the career of his Republican opponent, Margaret Chase Smith, the first woman elected to both houses of Congress.	2013-06-26T00:00:00Z	William Hathaway
Jason Molina, a Balladeer of Heartbreak, Dies at 39	Mr. Molina, a singer and songwriter, led the alternative bands Songs: Ohia and Magnolia Electric Co.	2013-03-27T00:00:00Z	Jason Molina
Jean-Léon Destiné, Dancer, Dies at 94	Considered the father of Haitian professional dance, Mr. Destiné first came to international attention in the 1940s and remained prominent for decades afterward.	2013-01-30T00:00:00Z	Jean-Léon Destiné
Butch Warren, 74, Prominent Jazz Bassist, Dies	Mr. Warren performed and recorded with Thelonious Monk, Herbie Hancock and others before his career was derailed by mental illness and substance abuse.	2013-10-24T00:00:00Z	Butch Warren
Cedar Walton, Pianist and Composer, Dies at 79	Mr. Walton often said he preferred the role of accompanist to that of bandleader.	2013-08-21T00:00:00Z	Cedar Walton
Donald Cabana, Warden Who Loathed Death Penalty, Dies at 67	Mr. Cabana, who worked in corrections for more than 25 years, argued that capital punishment was ineffectual, expensive and inhumane.	2013-10-13T00:00:00Z	Donald Cabana
Nguyen Khanh, General Who Led Coup, Dies at 86	General Khanh bloodlessly seized control of South Vietnam’s government in 1964, but his rule as premier lasted only a year as he was deposed by a junta of junior officers.	2013-01-28T00:00:00Z	Nguyen Khanh
George Duke, Keyboardist Who Crossed Genre Boundaries, Dies at 67	Mr. Duke started as a jazz pianist and later, at Frank Zappa’s request, took up the synthesizer, the instrument that became his hallmark.	2013-08-08T00:00:00Z	George Duke
C. Everett Koop, Forceful U.S. Surgeon General, Dies at 96	Dr. Koop was widely regarded as the most influential surgeon general in American history and played a crucial role in changing public attitudes about smoking.	2013-02-26T00:00:00Z	C. Everett Koop
John W. Cornforth, 96, Nobel-Winning Chemist, Dies	Dr. Cornforth, who was born in Australia, shared the Nobel Prize in Chemistry in 1975 and could trace that achievement to his discovery as a child that he was becoming deaf.	2013-12-20T00:00:00Z	John W. Cornforth
Roy Rubin, Who Led Record-Losing 76ers, Dies at 87	Mr. Rubin became the coach of the 1972-73 Philadelphia 76ers after a former assistant recommended him. He was fired after a 4-47 start, and the team finished 9-73.	2013-08-11T00:00:00Z	Roy Rubin
E. Clay Shaw Jr., House Sponsor of Welfare Overhaul, Dies at 74	Mr. Shaw, a Florida Republican, sponsored and helped shepherd a contentious 1996 bill backed by President Bill Clinton to overhaul the nation’s welfare system.	2013-09-12T00:00:00Z	E. Clay Shaw Jr.
A Polarizing Figure Who Led a Movement	Mr. Chávez led a nationalist movement that lashed out at the United States and wealthy Venezuelans, tapping into the resentments of his country’s poor.	2013-03-06T00:00:00Z	A Polarizing Figure Who Led a Movement
Tato Laviera, 63, Poet of Nuyorican School 	Mr. Laviera&#8217;s acclaimed poems and plays captured the rhythms and language of Puerto Rico and the Lower East Side.	2013-11-07T00:00:00Z	Tato Laviera
Rick Casares, 82, a Bear Who Got Yards With Grit, Dies	Casares led the National Football League in rushing in 1956 and is third on the Chicago Bears’ career rushing list.	2013-09-19T00:00:00Z	Rick Casares
Jack Germond, Political Reporter of the Old School, Dies at 85	A newspaper reporter, syndicated columnist and TV pundit who was one of the “Boys on the Bus” for 10 presidential elections.	2013-08-15T00:00:00Z	Jack Germond
Bobby Thomason, Pro Bowl Quarterback, Dies at 85	Mr. Thomason, a three-time Pro Bowler, set a record for the Eagles in 1953 by surpassing 400 passing yards.	2013-11-10T00:00:00Z	Bobby Thomason
T.R. Fehrenbach, Historian, Dies at 88; Chronicler of Larger-Than-Life Texas 	A member of the Sons of Texas, Mr. Fehrenbach said he had never claimed to be a historian; he once characterized his writing as “political science fiction.”	2013-12-06T00:00:00Z	T.R. Fehrenbach
Father of Devils Star Goalie Dies	Denis Brodeur, 82, one of Canada’s most successful sports photographers and the father of the Devils goalie Martin Brodeur, died on Thursday, the Devils said.	2013-09-27T00:00:00Z	Father of Devils Star Goalie Dies
Rod Grams, Minnesota Anchorman Turned Senator, Is Dead at 65	Mr. Grams was a rare conservative to be elected to statewide office from Democratic-leaning Minnesota.	2013-10-10T00:00:00Z	Rod Grams
John J. Gilligan, 1970s Governor of Ohio, Dies at 92	A liberal Democrat whose creation of the state income tax proved to be the undoing of his political career.	2013-08-28T00:00:00Z	John J. Gilligan
Paul Smith, Jazz Pianist, Is Dead at 91	Mr. Smith played with many well-known singers but was best known for accompanying Ella Fitzgerald, leading the trio that backed her in concert.	2013-07-04T00:00:00Z	Paul Smith
