rec_no,commodity,site_name,company_na,state_loca,county,latitude,longitude,plant_min
46,"Ball Clay","Mine #17 - Young","HC Spinks Clay Co Inc",Tennessee,Henry,36.279,-88.512,M
47,"Ball Clay","Mine #32 - Johns","HC Spinks Clay Co Inc",Tennessee,Henry,36.45,-88.333,M
48,"Ball Clay","Mine 30 - Grable","HC Spinks Clay Co Inc",Tennessee,Henry,36.189,-88.469,M
49,"Ball Clay","Moore Mine","Kentucky-Tennessee Clay Co",Tennessee,Henry,36.499,-88.469,M
50,"Ball Clay",Paris,"HC Spinks Clay Co Inc",Tennessee,Henry,36.226,-88.388,P
51,"Ball Clay","Shankle Mine","Kentucky-Tennessee Clay Co",Tennessee,Henry,36.4,-88.417,M
52,"Ball Clay","Bynum Mine","Kentucky-Tennessee Clay Co",Tennessee,Weakley,36.198,-88.644,M
53,"Ball Clay","Dunn - Mine #1","Old Hickory Clay Co",Tennessee,Weakley,36.22,-88.641,M
54,"Ball Clay",Gleason,"Unimin Corp",Tennessee,Weakley,36.184,-88.611,P
55,"Ball Clay",Gleason,"HC Spinks Clay Co Inc",Tennessee,Weakley,36.204,-88.618,P
56,"Ball Clay",Gleason,"Kentucky-Tennessee Clay Co",Tennessee,Weakley,36.216,-88.615,P
57,"Ball Clay",Gleason,"Old Hickory Clay Co",Tennessee,Weakley,36.216,-88.615,P
58,"Ball Clay","Gleason Facility - Mine 11","Unimin Corp",Tennessee,Weakley,36.13,-88.632,M
59,"Ball Clay","Gleason Plant - Pit #12","Unimin Corp",Tennessee,Weakley,36.157,-88.601,M
60,"Ball Clay","Jackson Mine","Kentucky-Tennessee Clay Co",Tennessee,Weakley,36.208,-88.661,M
61,"Ball Clay","McClain - Mine #2","Old Hickory Clay Co",Tennessee,Weakley,36.182,-88.711,M
62,"Ball Clay","Mine #13 - Bynum","HC Spinks Clay Co Inc",Tennessee,Weakley,36.236,-88.681,M
63,"Ball Clay","Mine #14 - Parks","HC Spinks Clay Co Inc",Tennessee,Weakley,36.189,-88.683,M
64,"Ball Clay","Mine #21 - Richmond","HC Spinks Clay Co Inc",Tennessee,Weakley,36.185,-88.707,M
65,"Ball Clay","Mine #22 - Swaim","HC Spinks Clay Co Inc",Tennessee,Weakley,36.192,-87.338,M
66,"Ball Clay","Mine #25 - Roberts","HC Spinks Clay Co Inc",Tennessee,Weakley,36.141,-88.683,M
67,"Ball Clay","Mine #29 - Gearin","HC Spinks Clay Co Inc",Tennessee,Weakley,36.184,-88.74,M
68,"Ball Clay","Mine 10","Unimin Corp",Tennessee,Weakley,36.211,-88.716,M
69,"Ball Clay","Mine 2","Unimin Corp",Tennessee,Weakley,36.219,-88.655,M
70,"Ball Clay","Mine 26 - Chappel","HC Spinks Clay Co Inc",Tennessee,Weakley,36.235,-88.702,M
71,"Ball Clay","Mine 27 - Baker","HC Spinks Clay Co Inc",Tennessee,Weakley,36.28,-88.526,M
72,"Ball Clay","Mine 28 - Wilbanks","HC Spinks Clay Co Inc",Tennessee,Weakley,36.283,-88.536,M
73,"Ball Clay","Mine 31 - Brown","HC Spinks Clay Co Inc",Tennessee,Weakley,36.133,-88.65,M
74,"Ball Clay","Mine 7 - Powers","HC Spinks Clay Co Inc",Tennessee,Weakley,36.283,-88.525,M
75,"Ball Clay","Stallcup Mine","Kentucky-Tennessee Clay Co",Tennessee,Weakley,36.226,-88.659,M
76,"Ball Clay","Trentham Mine","Kentucky-Tennessee Clay Co",Tennessee,Weakley,36.2,-88.659,M
77,"Ball Clay","Volunteer Mine 1","Old Hickory Clay Co",Tennessee,Weakley,36.182,-88.698,M
78,"Ball Clay","Troup Operations (5)","Unimin Corp",Texas,Cherokee,32.087,-95.024,M
79,"Ball Clay","Troup Plant","Unimin Corp",Texas,Smith,32.146,-95.128,P
80,Barite,"Laws Mill","Standard Industrial Minerals Inc",California,Inyo,37.403,-118.346,P
81,Barite,"Cartersville Plant","Cimbar Performance Minerals",Georgia,Bartow,34.154,-84.774,P
82,Barite,"Barite Mine & Mill","New Riverside Ochre Co Inc",Georgia,Bartow,34.159,-84.77,M/P
83,Barite,"Engineering Minerals Div","JM Huber Corp",Illinois,Adams,39.934,-91.389,P
84,Barite,"East St Louis Grinding Plant","Elementis Pigments Inc",Illinois,"Saint Clair",38.597,-90.005,P
85,Barite,Amelia,"M-I LLC",Louisiana,Assumption,29.667,-91.095,P
86,Barite,"Lake Charles Plant","Baroid Drilling Fluids Inc",Louisiana,Calcasieu,30.23,-93.247,P
87,Barite,"West Lake","M-I LLC",Louisiana,Calcasieu,30.228,-93.248,P
88,Barite,"New Iberia Plant","Excalibar Minerals Inc",Louisiana,Iberia,29.944,-91.835,P
89,Barite,"Morgan City Grinding Plant","Baker Hughes Inc - Inteq",Louisiana,Orleans,30.042,-89.969,P
90,Barite,"New Orleans Plant","Baroid Drilling Fluids Inc",Louisiana,Orleans,30.031,-90.031,P
91,Barite,"Morgan City","Excalibar Minerals Inc",Louisiana,"Saint Mary",29.687,-91.187,P
92,Barite,"Ambar Lonestar Barite Operation","Ambar Inc",Louisiana,Terrebonne,29.551,-90.687,P
93,Barite,"Fountain Farm Plant","Cimbar Performance Minerals",Missouri,Washington,37.972,-90.728,P
94,Barite,"Rossi Mine","Baroid Drilling Fluids Inc",Nevada,Elko,41.07,-116.428,M/P
95,Barite,"Dunphy Plant","Baroid Drilling Fluids Inc",Nevada,Eureka,40.709,-116.527,P
96,Barite,"Argenta Jig Plant","Baker Hughes Inc - Inteq",Nevada,Lander,40.67,-116.724,P
97,Barite,"Argenta Mine","Baker Hughes Inc - Inteq",Nevada,Lander,40.63,-116.725,M/P
98,Barite,"Barite Grinding Plant-Nevada","Baker Hughes Inc - Inteq",Nevada,Lander,40.67,-116.724,P
99,Barite,"Battle Mountain Grinding Plant","M-I LLC",Nevada,Lander,40.649,-116.937,P
100,Barite,"Greystone Mine","M-I LLC",Nevada,Lander,40.271,-116.88,M/P
101,Barite,"P&S Mine","Standard Industrial Minerals Inc",Nevada,Nye,38.97,-116.88,M/P
102,Barite,"Dyersburg Plant","Excalibar Minerals Inc",Tennessee,Dyer,36.053,-89.345,P
103,Barite,"Brownsville Plant","Milwhite Inc",Texas,Cameron,25.925,-97.482,P
105,Barite,"Houston Plant","Baroid Drilling Fluids Inc",Texas,Harris,29.752,-95.184,P
106,Barite,"Houston Plant","Excalibar Minerals Inc",Texas,Harris,29.745,-95.154,P
107,Barite,"Corpus Christi TX Grinding Plant","Baker Hughes Inc - Inteq",Texas,Nueces,27.706,-97.293,P
108,Barite,"Corpus Christi","Baroid Drilling Fluids Inc",Texas,Nueces,27.818,-97.416,P
109,Bentonite,"Lowndes County Mines - Sandys Ridge Mill","American Colloid Co",Alabama,Lowndes,32.021,-86.454,M
110,Bentonite,"Cheto Mine-Arizona","Engelhard Corp",Arizona,Apache,35.195,-109.238,M
111,Bentonite,"Cheto 01 Clay Mine","United Catalysts Inc",Arizona,Apache,35.2,-109.23,M/P
112,Bentonite,"Weary Lode Mine","McKustick Mosaic Co",Arizona,Gila,33.335,-110.805,M
113,Bentonite,"Ibex Bentonite","Protech Minerals Inc",California,Inyo,35.86,-116.28,M
114,Bentonite,"Side Hill","Vanderbilt Minerals Corp",California,Inyo,36.39,-116.48,M
115,Bentonite,"Ashurst Clay Pit","Wilbur Ellis Co",California,"San Benito",36.453,-120.793,M
116,Bentonite,"Hector Mine","Elementis Specialties Inc",California,"San Bernardino",34.849,-116.673,M/P
117,Bentonite,"Triangle Vol-Quad Volcano Group","First Bentonite",Colorado,Fremont,38.418,-105.344,M
118,Bentonite,"Jackson Plant","Engelhard Corp",Mississippi,Hinds,32.269,-90.207,P
119,Bentonite,"Aberdeen Mine","American Colloid Co",Mississippi,Monroe,33.764,-88.569,M
120,Bentonite,"Fowlkes Mine - Mississippi","Engelhard Corp",Mississippi,Monroe,33.767,-88.527,M
121,Bentonite,"Mines Belle Fourche Sd","American Colloid Co",Montana,Carter,45.05,-104.55,M
122,Bentonite,"Montana-Carter County Mines","BPM Minerals LLC",Montana,Carter,45.02,-104.5,M
123,Bentonite,Toddy,"Vanderbilt Minerals Corp",Nevada,Clark,36.224,-114.747,M
124,Bentonite,Blanco,"Vanderbilt Minerals Corp",Nevada,Esmeralda,37.6,-117.5,M
125,Bentonite,"Armagosa Mine and Mill","IMV Nevada",Nevada,Nye,36.446,-116.455,M
126,Bentonite,"New Discovery Mine","Vanderbilt Minerals Corp",Nevada,Nye,36.879,-116.869,M
127,Bentonite,"Pershing Mine","American Colloid Co",Nevada,Pershing,40.255,-118.5,P
128,Bentonite,"Buff Mine","Vanderbilt Minerals Corp",Nevada,Pershing,40.05,-118.7,M
129,Bentonite,"Crook County Mine","Central Oregon Bentonite Co",Oregon,Crook,43.947,-120.211,M
130,Bentonite,"D Pit","Teague Mineral Products Co",Oregon,Malheur,43.586,-117.128,M
131,Bentonite,"South Pit","Teague Mineral Products Co",Oregon,Malheur,43.542,-117.125,M
132,Bentonite,"Teague Mineral Products Mill","Teague Mineral Products Co",Oregon,Malheur,43.661,-117.075,P
133,Bentonite,"Belle Fourche Plant","American Colloid Co","South Dakota",Butte,44.676,-103.83,P
134,Bentonite,"Culberson Plant","Milwhite Inc",Texas,Culberson,31.04,-104.725,P
135,Bentonite,"Flatonia Pits","Milwhite Inc",Texas,Fayette,29.718,-97.109,M
136,Bentonite,Byler,"Southern Clay Products Inc",Texas,Fayette,29.858,-97.033,P
137,Bentonite,"Elm Grove","Southern Clay Products Inc",Texas,Fayette,29.746,-97.202,P
138,Bentonite,"Fayette Plant","Southern Clay Products Inc",Texas,Fayette,29.877,-97.076,P
139,Bentonite,"Texas Pits","Mid-Tex Minerals Inc",Texas,Gonzales,29.492,-97.367,M
140,Bentonite,Gonzales,"Southern Clay Products Inc",Texas,Gonzales,29.382,-97.426,P
141,Bentonite,"Gonzales Plant","Southern Clay Products Inc",Texas,Gonzales,29.511,-97.448,P
142,Bentonite,Kennard,"Southern Clay Products Inc",Texas,Gonzales,29.471,-97.334,P
143,Bentonite,"Bagging Plant","Redmond Minerals Inc",Utah,Sanpete,39.1,-111.866,P
144,Bentonite,"Clay Mine","Redmond Minerals Inc",Utah,Sanpete,39.051,-111.94,M
145,Bentonite,"Redmond Mine","Western Clay Co",Utah,Sevier,38.922,-111.933,M
146,Bentonite,"Sevier Plant","Western Clay Co",Utah,Sevier,38.924,-111.907,P
147,Bentonite,"Harry Thorson Plant","Black Hills Bentonite LLC",Wyoming,Albany,41.248,-105.537,M
148,Bentonite,"Lovell Plant & Big Horn County Mines","American Colloid Co",Wyoming,"Big Horn",44.76,-108.4,M/P
149,Bentonite,"Wyoming Big Horn County Mines","Bentonite Corp",Wyoming,"Big Horn",44.839,-108.291,M
150,Bentonite,"Big Horn County Mines","Black Hills Bentonite LLC",Wyoming,"Big Horn",44.645,-107.977,M
151,Bentonite,"Lovell Plant","BPM Minerals LLC",Wyoming,"Big Horn",44.821,-108.376,P
152,Bentonite,"Greybull Mill","M-I LLC",Wyoming,"Big Horn",44.508,-108.279,M/P
153,Bentonite,"Stucco Plant","Wyo-Ben Inc",Wyoming,"Big Horn",44.824,-108.432,P
154,Bentonite,"Wyo-Ben Big Horn County Mines","Wyo-Ben Inc",Wyoming,"Big Horn",44.56,-108.142,M/P
155,Bentonite,"Colony East-Crook County Mine","American Colloid Co",Wyoming,Crook,44.83,-104.062,M
156,Bentonite,"Colony West Mill","American Colloid Co",Wyoming,Crook,44.84,-104.1,M/P
157,Bentonite,"Colony WY-Crook County Mines","Bentonite Corp",Wyoming,Crook,44.85,-104.13,M/P
158,Bentonite,"Lucerne Plant","Wyo-Ben Inc",Wyoming,"Hot Springs",43.735,-108.165,P
159,Bentonite,"Johnson County Mines","Black Hills Bentonite LLC",Wyoming,Johnson,43.75,-106.7,M
160,Bentonite,"Casper Plant","Black Hills Bentonite LLC",Wyoming,Natrona,42.849,-106.376,M
161,Bentonite,"Mills Plant","Black Hills Bentonite LLC",Wyoming,Natrona,42.85,-106.362,M
162,Bentonite,"Washakie County Mines","Black Hills Bentonite LLC",Wyoming,Washakie,43.95,-108,M
163,Bentonite,"Washakie County Mines #2","Black Hills Bentonite LLC",Wyoming,Washakie,44.018,-107.916,M
164,Bentonite,"Worland Plant","Black Hills Bentonite LLC",Wyoming,Washakie,44.033,-107.952,P
165,Bentonite,"Upton Federal","American Colloid Co",Wyoming,Weston,44.12,-104.672,M/P
166,Bentonite,"Upton Plant","American Colloid Co",Wyoming,Weston,43.992,-104.779,P
167,Bentonite,"Weston County Mines With Upton Plant","American Colloid Co",Wyoming,Weston,44.162,-104.8,M/P
168,Bentonite,"Thornton Plant","Black Hills Bentonite LLC",Wyoming,Weston,44.16,-104.739,P
169,Beryllium,"Topaz Mining Properties","Brush Resources Inc",Utah,Juab,39.707,-113.217,M
170,Beryllium,Delta,"Brush Wellman Inc",Utah,Millard,39.489,-112.548,P
171,Boron,"Billie Mine","American Borate Co",California,Inyo,36.261,-117.393,M
172,Boron,"Boron Mine","US Borax Inc",California,Kern,35.08,-117.765,M/P
173,Boron,Hector,"Fort Cady Mineral Co",California,"San Bernardino",34.825,-116.676,M/P
174,Boron,"Trona Plant","IMC Global Inc",California,"San Bernardino",35.762,-117.38,M/P
175,Boron,"Westend Plant","IMC Global Inc",California,"San Bernardino",35.706,-117.395,M/P
176,Boron,"Lathrop Wells Plant","American Borate Co",Nevada,Nye,36.6,-116.5,P
177,Bromine,"Arkansas Division","Albermarle Corp",Arkansas,Columbia,33.249,-93.241,P
178,Bromine,"Magnolia Plant No 2","Albermarle Corp",Arkansas,Columbia,33.249,-93.241,P
179,Bromine,"El Dorado Plant","Great Lakes Chemical Corp",Arkansas,Union,33.173,-92.718,P
180,Bromine,"Great Lakes Newell Plant","Great Lakes Chemical Corp",Arkansas,Union,33.202,-92.647,P
181,Bromine,"South Plant","Great Lakes Chemical Corp",Arkansas,Union,33.151,-92.688,P
182,Bromine,"West Plant","Great Lakes Chemical Corp",Arkansas,Union,33.185,-92.941,P
183,Bromine,"Ludington Plant","Tetra Technologies Inc",Michigan,Mason,43.939,-86.433,P
184,Cadmium,Clarksville,"Pasminco Ltd",Tennessee,Montgomery,36.511,-87.402,P
185,Cement,"Leeds Plant","Lehigh Portland Cement Co",Alabama,Jefferson,33.545,-86.548,P
186,Cement,"Demopolis Plant","Cemex USA (Southdown Inc)",Alabama,Marengo,32.513,-87.835,M
187,Cement,"Theodore Plant","Holcim (US) Inc",Alabama,Mobile,30.608,-88.137,P
188,Cement,"Ragland Plant","National Cement Co",Alabama,"Saint Clair",33.743,-86.152,P
189,Cement,"Roberta Plant","Lafarge North America Inc",Alabama,Shelby,33.178,-86.607,P
190,Cement,"Rillito Plant","CA Portland Cement Co (Arizona Portland Cement Co)",Arizona,Pima,32.394,-111.137,P
191,Cement,"Clarkdale Plant","Phoenix Cement Co",Arizona,Yavapai,34.749,-112.123,P
192,Cement,"Foreman Plant","Ash Grove Cement Co",Arkansas,"Little River",33.722,-94.398,P
193,Cement,"Lebec (Los Robles Plant)","National Cement Co",California,Kern,34.834,-118.866,P
194,Cement,"Mojave Plant","California Portland Cement Co",California,Kern,35.033,-118.326,P
195,Cement,"Tehachapi Plant","Lehigh Cement Co",California,Kern,35.13,-118.5,P
196,Cement,"Crestmore Plant","TXI Riverside Cement",California,Riverside,33.997,-117.403,P
197,Cement,"Colton Plant","California Portland Cement Co",California,"San Bernardino",34.063,-117.338,P
198,Cement,"Lucerne Valley (Cushenbury Plant)","Mitsubishi Cement Co",California,"San Bernardino",34.35,-116.848,P
199,Cement,"Oro Grande Plant","TXI Riverside Cement",California,"San Bernardino",34.597,-117.338,M/P
200,Cement,"Victorville Plant","Cemex USA",California,"San Bernardino",34.54,-117.314,P
201,Cement,"Permanente Plant","Hanson Permanente Cement Inc",California,"San Mateo",37.463,-122.137,P
202,Cement,"Santa Cruz Plant","RMC Pacific Materials",California,"Santa Cruz",36.977,-122.027,P
203,Cement,"Redding Plant","Lehigh Cement Co",California,Shasta,40.572,-122.402,P
204,Cement,"Lyons Plant","Cemex USA",Colorado,Boulder,40.218,-105.262,P
205,Cement,"Florence Plant","Holcim (US) Inc",Colorado,Fremont,38.383,-104.999,P
206,Cement,"Newberry Plant","Florida Rock Industries",Florida,Alachua,29.694,-82.572,P
207,Cement,"Brooksville Plant","Cemex USA",Florida,Hernando,28.658,-82.457,P
208,Cement,"CPL Plant","Florida Crushed Stone",Florida,Hernando,28.5,-82.4,P
209,Cement,"Tampa Plant","Florida Rock Industries",Florida,Hillsborough,27.95,-82.457,P
210,Cement,"Port Manatee","Florida Rock Industries",Florida,Manatee,27.483,-82.582,P
211,Cement,"Miami Plant","Rinker Materials Corp",Florida,Miami-Dade,25.763,-80.308,P
212,Cement,"Pennsuco Cement","Pennsuco Cement Co (Tarmac)",Florida,Miami-Dade,25.823,-80.287,P
213,Cement,Branford,"Suwannee American Cement Co",Florida,Suwannee,29.953,-82.86,P
214,Cement,"Atlanta Plant","Lafarge North America Inc",Georgia,Fulton,33.787,-84.415,P
215,Cement,"Clinchfield Plant","Cemex USA",Georgia,Houston,32.406,-83.637,P
216,Cement,"Inkom Plant","Ash Grove Cement Co",Idaho,Bannock,42.795,-112.255,P
217,Cement,"Illinois Cement Co","Centex Corp",Illinois,"La Salle",41.333,-89.033,P
218,Cement,"Oblesby Plant","Buzzi Unicem USA Inc",Illinois,"La Salle",41.3,-89.065,P
219,Cement,"Dixon Plant","Cemex USA",Illinois,Lee,41.722,-89.555,P
220,Cement,"Joppa Plant","Lafarge Corp",Illinois,Massac,37.22,-88.832,P
221,Cement,"Logansport Plant","Essroc Materials Inc",Indiana,Cass,40.75,-86.417,P
222,Cement,"Speed Plant","Essroc Materials Inc",Indiana,Clark,38.412,-85.757,P
223,Cement,"Mitchell Plant","Lehigh Portland Cement Co",Indiana,Lawrence,38.733,-86.472,P
224,Cement,"Greencastle Plant","Buzzi Unicem USA Inc",Indiana,Putnam,39.64,-86.858,P
225,Cement,"Mason City Plant","Lehigh Portland Cement Co",Iowa,"Cerro Gordo",43.16,-93.176,P
226,Cement,"Mason Plant","Holcim (US) Inc",Iowa,"Cerro Gordo",43.16,-93.176,P
227,Cement,"Davenport Plant","Lafarge Corp",Iowa,Scott,41.486,-90.75,P
228,Cement,"Humboldt Plant","The Monarch Cement Co",Kansas,Allen,37.76,-95.438,P
229,Cement,"Heartland Cement Co","Buzzi Unicem USA Inc",Kansas,Montgomery,37.205,-95.686,P
230,Cement,"Chanute Plant","Ash Grove Cement Co",Kansas,Neosho,37.678,-95.448,P
231,Cement,"Fredonia Plant","Lafarge Corp",Kansas,Wilson,37.541,-95.849,P
232,Cement,"Louisville Plant","Kosmos Cement Co (75% Cemex USA)",Kentucky,Jefferson,38.105,-85.76,P
233,Cement,"Thomaston Plant","Dragon Products Co",Maine,Knox,44.078,-69.183,P
234,Cement,Fredrick,"Essroc Materials Inc",Maryland,Frederick,39.343,-77.51,P
235,Cement,"Union Bridge Plant","Lehigh Cement Co",Maryland,Frederick,39.557,-77.172,P
236,Cement,"Hagerstown Plant","St Lawrence Cement Co (Holcim Ltd)",Maryland,Washington,39.653,-77.662,P
237,Cement,"Alpena Plant","Lafarge Corp",Michigan,Alpena,45.065,-83.442,P
238,Cement,"Essexville Plant","Essroc Cement Corp",Michigan,Bay,43.571,-83.806,P
239,Cement,"Charlevoix Plant","Cemex USA",Michigan,Charlevoix,45.315,-85.262,P
240,Cement,"Dundee Plant","Holcim (US) Inc",Michigan,Monroe,41.957,-83.662,P
241,Cement,"Detroit Plant","St Mary's Cement",Michigan,Wayne,42.278,-83.163,P
242,Cement,"Artesia Plant","Holcim (US) Inc",Mississippi,Lowndes,33.417,-88.643,P
243,Cement,"Cape Girardeau Plant","Buzzi Unicem USA Inc",Missouri,"Cape Girardeau",37.31,-89.533,P
244,Cement,"Sugar Creek Plant","Lafarge Corp",Missouri,Jackson,39.12,-94.442,P
245,Cement,"Selma Plant","Buzzi Unicem USA Inc",Missouri,Jefferson,38.227,-90.388,P
246,Cement,"Clarksville Plant","Holcim (US) Inc",Missouri,Pike,39.371,-90.948,P
247,Cement,"Hannibal Plant","Continental Cement Co",Missouri,Ralls,39.667,-91.317,P
248,Cement,"Trident Plant","Holcim (US) Inc",Montana,Gallatin,45.901,-111.546,P
249,Cement,"Montana City Plant","Ash Grove Cement Co",Montana,Jefferson,46.465,-111.978,P
250,Cement,"Louisville Plant","Ash Grove Cement Co",Nebraska,Cass,41.006,-96.144,P
251,Cement,Logandale,"Royal Cement Co Inc",Nevada,Clark,36.641,-114.494,P
252,Cement,Fernley,"Nevada Cement Co (Centex Construction Products Inc",Nevada,Lyon,39.607,-119.252,P
253,Cement,"Tijeras Plant","GCC Rio Grande Portland Cement Co","New Mexico",Bernalillo,35.064,-106.392,P
254,Cement,"Ravena Plant","Lafarge North America Inc","New York",Albany,42.492,-73.835,P
255,Cement,"Catskill Plant","St Lawrence Cement","New York",Greene,42.227,-73.863,P
256,Cement,"Cementon Plant","Glens Falls Lehigh Cement","New York",Greene,42.145,-73.909,P
257,Cement,"Glens Falls Plant","Glens Falls Lehigh Cement","New York",Warren,43.309,-73.608,P
258,Cement,"Fairborn Plant","Cemex USA",Ohio,Greene,39.82,-84.028,P
259,Cement,"Paulding Plant","Lafarge Corp",Ohio,Paulding,41.18,-84.742,P
260,Cement,"Pryor Plant","Buzzi Unicem USA Inc",Oklahoma,Mayes,36.308,-95.317,P
261,Cement,"Ada Plant","Holcim (US) Inc",Oklahoma,Pontotoc,34.873,-96.593,P
262,Cement,"Tulsa Ok Plant","Lafarge North America Inc",Oklahoma,Rogers,36.198,-95.814,P
263,Cement,"Durkee Plant","Ash Grove Cement Co",Oregon,Baker,44.593,-117.456,P
264,Cement,"Evansville Plant","Lehigh Cement Co",Pennsylvania,Berks,40.48,-75.897,P
265,Cement,"Cabot Plant","Armstrong Cement & Supply Corp",Pennsylvania,Butler,40.733,-79.747,P
266,Cement,"Bessemer Plant","Essroc Materials Inc",Pennsylvania,Lawrence,40.89,-80.495,P
267,Cement,"Wampum Plant","Cemex USA",Pennsylvania,Lawrence,40.892,-80.343,P
268,Cement,"Whitehall Plant","Lafarge Corp",Pennsylvania,Lehigh,40.655,-75.47,P
269,Cement,"Bath Plant","Keystone Cement Co (Giant Cement Holding Inc)",Pennsylvania,Northampton,40.725,-75.398,P
270,Cement,"Hercules Cement Co","Buzzi Unicem USA Inc",Pennsylvania,Northampton,40.783,-75.19,P
271,Cement,"Nazareth 1 And 2","Essroc Materials Inc",Pennsylvania,Northampton,40.74,-75.312,P
272,Cement,"Nazareth 3","Essroc Materials Inc",Pennsylvania,Northampton,40.74,-75.312,P
273,Cement,"York White Cement Plant","Lehigh Portland Cement Co",Pennsylvania,York,39.949,-76.704,P
274,Cement,"Harleyville Plant","Giant Cement Co","South Carolina",Dorchester,33.215,-80.45,P
